,NDC_code
992,6626717121
993,6626717130
994,6626717140
995,6626717210
996,6626717215
997,6626717220
998,6626717221
999,6626717230
1000,6626717240
1001,6626717330
1002,6626717360
1003,6626781210
1004,6626786003
1005,6626786006
1006,6626786010
1007,6626791106
1008,6626794821
1009,6633605815
1010,6633605890
1011,6633609415
1012,6633609421
1013,6633621930
1014,6633642830
1015,6633642860
1016,6633642890
1017,6729601381
1018,6729601382
1019,6729601383
1020,6729601402
1021,6729602471
1022,6729602472
1023,6729602473
1024,6729602475
1025,6729602476
1026,6729606001
1027,6729606002
1028,6729606003
1029,6729606021
1030,6729606022
1031,6729609741
1032,6729609742
1033,6729609745
1034,6729610321
1035,6729610323
1036,6729610324
1037,6729610651
1038,6729610653
1039,6729610654
1040,6729610655
1041,6729610659
1042,6729610831
1043,6729610832
1044,6729610833
1045,6729610834
1046,6729611831
1047,6729611943
1048,6729611945
